"","B_freqency","B_size","ID","transcript","logf","logs","logtranscript","name"
"1",2.03670084963629,3.32616873405844,"ENSG00000000419.12",4.00653594771242,0.308927244565691,0.521944276877407,0.602769043700816,"DPM1"
"2",6.78620922285363,1.63542568262834,"ENSG00000000457.14",10.9542483660131,0.831627245071861,0.213630813604536,1.03958258347666,"SCYL3"
"3",0.40166622046011,44.7984761322766,"ENSG00000002549.12",3.74509803921569,-0.396134690261438,1.65126324126155,0.573463191149791,"LAP3"
"4",7.11102454719984,3.75376099269051,"ENSG00000002586.20_PAR_Y",25.516339869281,0.851932177823932,0.574466617017318,1.40681837817706,"CD99"
"5",1.35993745280219,1.24899404958233,"ENSG00000002834.18",1.68627450980392,0.133518934452918,0.0965603693271248,0.226928275145631,"LASP1"
"6",6.29459062949174,4.6377751583893,"ENSG00000003249.14",28.5228758169935,0.798967490896003,0.666309690003178,1.45519331109871,"DBNDD1"
"7",1.69437176190758,6.70836922838127,"ENSG00000003756.17",5.09150326797386,0.229008704950669,0.826616958143281,0.706846026854966,"RBM5"
"8",5.82400530169593,1.90471408713772,"ENSG00000004142.12",8.29411764705882,0.765221761651176,0.27982979381877,0.918770191277106,"POLDIP2"
"9",6.74616913614036,4.8672027999586,"ENSG00000004455.17",31.516339869281,0.829057225375512,0.687279442209817,1.49853577522384,"AK2"
"10",6.7934661755498,5.36378030296328,"ENSG00000004478.8",35.3071895424837,0.832091417405725,0.729470981117529,1.54786314903383,"FKBP4"
"11",0.673855189060349,12.086043527514,"ENSG00000004777.18",2.76470588235294,-0.171433422973722,1.08228415401347,0.441648936557444,"ARHGAP33"
"12",6.39552200894009,3.87286882376919,"ENSG00000004779.10",24.2352941176471,0.805875997813885,0.588032787438451,1.38444829465486,"NDUFAB1"
"13",5.30425103847393,2.51002443808562,"ENSG00000004864.13",9.68627450980392,0.724624070080726,0.399677949877081,0.986156772825711,"SLC25A13"
"14",2.06662154963263,6.11734813358014,"ENSG00000004897.12",6.05882352941176,0.31526095366917,0.786563196566237,0.782388303326898,"CDC27"
"15",2.06483381931534,4.02376784592351,"ENSG00000004961.15",5.7516339869281,0.314885104777652,0.60463291584935,0.75979124133257,"HCCS"
"16",2.11636785243902,1.33649192428277,"ENSG00000004975.12",2.77777777777778,0.325591155990628,0.125966338887523,0.443697499232713,"DVL2"
"17",1.63496773341929,1.9720096490485,"ENSG00000005007.12",3.50980392156863,0.21350918614846,0.294909035614455,0.545282854881957,"UPF1"
"18",6.98996568264454,5.07336833139095,"ENSG00000005022.6",34.7647058823529,0.844475043574767,0.705296393656588,1.54113855950298,"SLC25A5"
"19",2.66616433182966,4.3819985071404,"ENSG00000005059.16",6.52941176470588,0.425886914097849,0.641672225269233,0.814874057408383,"MCUB"
"20",7.48197733643075,2.14168643567869,"ENSG00000005075.15",16.2091503267974,0.874016388347889,0.330755886092949,1.20976025000862,"POLR2J"
"21",6.53475372257448,1.73713520692283,"ENSG00000005100.13",11.2679738562092,0.815229224825154,0.23983362232463,1.0518458306711,"DHX33"
"22",2.55182182913622,1.10375922365714,"ENSG00000005156.12",2.79738562091503,0.406850348213607,0.0428743458192924,0.446752338195573,"LIG3"
"23",1.47503803890984,2.52543403635265,"ENSG00000005175.10",2.40522875816993,0.168803220229861,0.402336029343248,0.381156387855919,"RPAP3"
"24",4.46805180247994,4.38249035698918,"ENSG00000005194.15",12.1241830065359,0.650118199672033,0.641720969167203,1.08365248313347,"CIAPIN1"
"25",3.44796532809902,6.57797415574729,"ENSG00000005302.19",10.1372549019608,0.53756289001492,0.818092162847094,1.00592036699601,"MSL3"
"26",0.886955969979133,1.19220342712916,"ENSG00000005469.11",0.967320261437909,-0.0520979387587099,0.0763503659258883,-0.0144297154226414,"CROT"
"27",7.33452558969318,2.18518570147314,"ENSG00000005486.17",15.7581699346405,0.865372028139549,0.33948835009276,1.19750577955985,"RHBDD2"
"28",1.26168424360662,11.1656479999793,"ENSG00000005513.10",4.36601307189542,0.100950679458455,1.04788393248125,0.640085031657947,"SOX8"
"29",1.14666050726259,3.61573298521738,"ENSG00000005700.15",2.33333333333333,0.0594348550009485,0.558196351192597,0.367976785294594,"IBTK"
"30",1.2019752138869,3.00108538056928,"ENSG00000005801.18",2.33986928104575,0.0798955121067079,0.477278351233793,0.369191595826276,"ZNF195"
"31",5.42049955179057,1.81135858587612,"ENSG00000005810.18",9.50980392156863,0.73403931284625,0.258004433997951,0.978171562504327,"MYCBP2"
"32",4.52135951551212,4.21758606396547,"ENSG00000005893.16",14.078431372549,0.655269041295598,0.625063953554923,1.14855426814436,"LAMP2"
"33",0.530583494679522,1.27029527256766,"ENSG00000006025.12",0.640522875816993,-0.275246264118291,0.103904681855072,-0.193465355125104,"OSBPL7"
"34",4.46444486085661,3.55533136375071,"ENSG00000006042.12",11,0.649767463480857,0.550880084036786,1.04139268515823,"TMEM98"
"35",3.89854712517055,1.10538698999147,"ENSG00000006118.14",4.27450980392157,0.590902788288086,0.0435143487855037,0.630886317506668,"TMEM132A"
"36",2.2567652832971,4.68914343241382,"ENSG00000006451.8",5.88235294117647,0.353486392276844,0.671093517224484,0.769551078621726,"RALA"
"37",1.26664909285076,5.72872643290725,"ENSG00000006453.14",3.43790849673203,0.102656316425395,0.758058083636323,0.53629431333614,"BAIAP2L1"
"38",0.792977926884178,14.9832947702889,"ENSG00000006576.16",3.37908496732026,-0.100738901416089,1.1756073235917,0.528799112276344,"PHTF2"
