ERCC-00002,390.2355347
ERCC-00004,2465.553711
ERCC-00009,433.1896362
ERCC-00012,830.4135742
ERCC-00134,250.6360474
ERCC-00136,2257.775635
ERCC-00137,84.51407623
ERCC-00142,3324.096924
ERCC-00143,834.3001709
ERCC-00144,357.4393921
ERCC-00145,1966.303589
ERCC-00147,129.9164276
ERCC-00148,65.21539307
ERCC-00150,345.9220886
ERCC-00156,3999.95166
ERCC-00157,497.5743103
ERCC-00158,108.7256317
ERCC-00160,860.3483887
ERCC-00162,2763.146484
ERCC-00163,165.231308
ERCC-00165,3328.949707
ERCC-00168,92.61882782
ERCC-00170,167.8512878
ERCC-00171,3825.607422
